data;restaurante;tipo;subcategoria;valor;cnpj_fornecedor;descricao
12/06/2024;Restaurante Veggie Life;despesa;Despesa com Marketing;1325.56;33000167000101;Pagamento de campanha de Google Ads
04/09/2023;Pizzaria Massa Fina;despesa;Despesa com Insumos;159.4;33050067000179;Compra de despesa com insumos
08/12/2024;Churrascaria Boi Feliz;despesa;Despesa com Energia Elétrica;795.86;33000167000101;Conta de luz referente a julho
10/02/2024;Churrascaria Boi Feliz;despesa;Despesa com Marketing;969.18;60746948000112;Pagamento de campanha de Facebook Ads
01/09/2023;Pizzaria Massa Fina;despesa;Despesa com Marketing;1229.32;60746948000112;Pagamento de campanha de Facebook Ads
10/06/2025;Pizzaria Massa Fina;despesa;Manutenção de Fornos;1181.05;33592510000154;Serviço de manutenção de fornos
06/29/2025;Restaurante Veggie Life;despesa;Despesa com Hortaliças;819.88;33592510000154;Compra de despesa com hortaliças
14/03/2024;Churrascaria Boi Feliz;despesa;Despesa com Energia Elétrica;952.32;61190096000180;Conta de luz referente a fevereiro
08/08/2024;Churrascaria Boi Feliz;despesa;Despesa com Carnes;1292.98;60746948000112;Compra de despesa com carnes
29/01/2024;Churrascaria Boi Feliz;despesa;Despesa com Carnes;278.8;33000167000101;Compra de despesa com carnes
24/06/2024;Churrascaria Boi Feliz;despesa;Despesa com Marketing;114.23;60746948000112;Pagamento de campanha de Google Ads
10/20/2024;Churrascaria Boi Feliz;despesa;Manutenção de Equipamentos;744.9;33592510000154;Serviço de manutenção de equipamentos
27/04/2025;Restaurante Veggie Life;despesa;Despesa com Hortaliças;468.92;21246584000150;Compra de despesa com hortaliças
11/04/2025;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;552.19;33592510000154;Conta de luz referente a novembro
31/05/2025;Churrascaria Boi Feliz;despesa;Manutenção de Equipamentos;225.34;33050067000179;Serviço de manutenção de equipamentos
10/18/2024;Churrascaria Boi Feliz;despesa;Despesa com Carnes;1051.48;21246584000150;Compra de despesa com carnes
02/09/2023;Churrascaria Boi Feliz;despesa;Manutenção de Equipamentos;501.29;21246584000150;Serviço de manutenção de equipamentos
28/10/2023;Sorveteria Tropical;despesa;Despesa com Marketing;267.53;21246584000150;Pagamento de campanha de Google Ads
12/10/2023;Restaurante Veggie Life;despesa;Despesa com Marketing;104.93;33050067000179;Pagamento de campanha de Facebook Ads
06/01/2024;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;207.6;21246584000150;Conta de luz referente a setembro
07/09/2023;Pizzaria Massa Fina;despesa;Despesa com Marketing;64.11;21246584000150;Pagamento de campanha de Instagram
10/01/2025;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;724.97;61190096000180;Conta de luz referente a março
15/01/2024;Restaurante Veggie Life;despesa;Despesa com Hortaliças;827.3;60746948000112;Compra de despesa com hortaliças
31/08/2024;Restaurante Veggie Life;despesa;Despesa com Marketing;299.47;33592510000154;Pagamento de campanha de Instagram
22/11/2024;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;1341.41;33050067000179;Conta de luz referente a junho
20/08/2023;Churrascaria Boi Feliz;despesa;Despesa com Energia Elétrica;598.49;60746948000112;Conta de luz referente a junho
28/05/2024;Restaurante Veggie Life;despesa;Despesa com Energia Elétrica;1261.47;61190096000180;Conta de luz referente a maio
06/12/2023;Pizzaria Massa Fina;despesa;Despesa com Marketing;195.36;21246584000150;Pagamento de campanha de Google Ads
12/06/2025;Pizzaria Massa Fina;despesa;Manutenção de Fornos;420.16;21246584000150;Serviço de manutenção de fornos
28/03/2024;Restaurante Veggie Life;despesa;Despesa com Hortaliças;1039.51;60746948000112;Compra de despesa com hortaliças
08/03/2024;Churrascaria Boi Feliz;despesa;Despesa com Energia Elétrica;1461.18;61190096000180;Conta de luz referente a abril
21/12/2023;Pizzaria Massa Fina;despesa;Despesa com Insumos;189.97;33050067000179;Compra de despesa com insumos
02/10/2023;Sorveteria Tropical;despesa;Manutenção de Equipamentos;925.09;61190096000180;Serviço de manutenção de equipamentos
27/11/2023;Churrascaria Boi Feliz;despesa;Manutenção de Equipamentos;1097.11;2558157000162;Serviço de manutenção de equipamentos
12/07/2025;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;137.12;33050067000179;Conta de luz referente a julho
07/04/2024;Restaurante Veggie Life;despesa;Despesa com Marketing;921.65;21246584000150;Pagamento de campanha de Instagram
29/03/2025;Churrascaria Boi Feliz;despesa;Despesa com Marketing;31.32;61190096000180;Pagamento de campanha de Google Ads
20/06/2025;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;61.65;33050067000179;Conta de luz referente a junho
31/01/2024;Pizzaria Massa Fina;despesa;Manutenção de Fornos;110.4;61190096000180;Serviço de manutenção de fornos
14/07/2025;Sorveteria Tropical;despesa;Manutenção de Equipamentos;1442.28;60746948000112;Serviço de manutenção de equipamentos
23/10/2024;Sorveteria Tropical;despesa;Despesa com Marketing;40.01;33592510000154;Pagamento de campanha de Facebook Ads
03/02/2025;Sorveteria Tropical;despesa;Despesa com Energia Elétrica;778.76;61190096000180;Conta de luz referente a maio
01/03/2024;Pizzaria Massa Fina;despesa;Despesa com Energia Elétrica;950.36;2558157000162;Conta de luz referente a julho
24/03/2025;Restaurante Veggie Life;despesa;Despesa com Hortaliças;586.59;33592510000154;Compra de despesa com hortaliças
08/09/2023;Restaurante Veggie Life;despesa;Despesa com Energia Elétrica;179.92;61190096000180;Conta de luz referente a novembro
16/03/2024;Pizzaria Massa Fina;despesa;Manutenção de Fornos;904.45;2558157000162;Serviço de manutenção de fornos
07/07/2025;Pizzaria Massa Fina;despesa;Despesa com Marketing;101.93;33592510000154;Pagamento de campanha de Google Ads
