data;restaurante;tipo;subcategoria;valor;cnpj_fornecedor;descricao
30/08/2024;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;335.36;21246584000150;Venda de Prato Vegetariano realizada no balcão
28/03/2025;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;937.44;61190096000180;Venda de Prato Vegetariano realizada no balcão
28/03/2025;Churrascaria Boi Feliz;receita;Eventos Corporativos;606.65;61190096000180;Receita de Eventos Corporativos contratados
21/03/2024;Restaurante Veggie Life;receita;Eventos de Alimentação Saudável;90.56;33050067000179;Receita de Eventos de Alimentação Saudável contratados
07/05/2025;Sorveteria Tropical;receita;Venda de Milkshake;782.15;60746948000112;Venda de Milkshake realizada no balcão
15/04/2024;Churrascaria Boi Feliz;receita;Venda de Rodízio;136.93;33050067000179;Venda de Rodízio realizada no balcão
03/04/2024;Pizzaria Massa Fina;receita;Delivery;1659.75;33592510000154;Delivery efetuada
28/07/2025;Sorveteria Tropical;receita;Venda de Açaí;842.7;2558157000162;Venda de Açaí realizada no balcão
01/09/2023;Restaurante Veggie Life;receita;Venda de Salada;913.87;02558157000162;Venda de Salada realizada no balcão
09/01/2025;Sorveteria Tropical;receita;Venda de Açaí;174.98;21246584000150;Venda de Açaí realizada no balcão
07/10/2023;Pizzaria Massa Fina;receita;Venda de Pizza;1405.72;61190096000180;Venda de Pizza realizada no balcão
21/06/2025;Sorveteria Tropical;receita;Venda de Sorvete;366.01;33000167000101;Venda de Sorvete realizada no balcão
27/02/2025;Pizzaria Massa Fina;receita;Venda de Sobremesas;407.0;33050067000179;Venda de Sobremesas realizada no balcão
01/11/2023;Restaurante Veggie Life;receita;Venda de Sucos Naturais;60.84;60746948000112;Venda de Sucos Naturais realizada no balcão
23/04/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;99.57;2558157000162;Receita de Publicidade na Sorveteria
30/06/2025;Restaurante Veggie Life;receita;Venda de Sucos Naturais;1447.45;33592510000154;Venda de Sucos Naturais realizada no balcão
06/09/2024;Sorveteria Tropical;receita;Venda de Sorvete;96.94;33592510000154;Venda de Sorvete realizada no balcão
27/06/2025;Restaurante Veggie Life;receita;Venda de Sucos Naturais;328.83;33000167000101;Venda de Sucos Naturais realizada no balcão
01/11/2023;Sorveteria Tropical;receita;Venda de Açaí;1935.92;21246584000150;Venda de Açaí realizada no balcão
28/09/2024;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1360.36;33000167000101;Venda de Prato Vegetariano realizada no balcão
02/06/2025;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;575.73;21246584000150;Venda de Prato Vegetariano realizada no balcão
01/08/2024;Restaurante Veggie Life;receita;Venda de Sucos Naturais;983.84;33050067000179;Venda de Sucos Naturais realizada no balcão
01/05/2025;Churrascaria Boi Feliz;receita;Venda de Rodízio;267.83;21246584000150;Venda de Rodízio realizada no balcão
29/06/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;232.12;2558157000162;Venda de Marmitex realizada no balcão
20/01/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;1788.25;21246584000150;Venda de Sobremesas realizada no balcão
03/04/2025;Restaurante Veggie Life;receita;Eventos de Alimentação Saudável;255.31;33000167000101;Receita de Eventos de Alimentação Saudável contratados
01/02/2025;Sorveteria Tropical;receita;Publicidade na Sorveteria;815.88;21246584000150;Receita de Publicidade na Sorveteria
09/03/2025;Pizzaria Massa Fina;receita;Venda de Bebidas;1989.21;33000167000101;Venda de Bebidas realizada no balcão
15/02/2024;Churrascaria Boi Feliz;receita;Venda de Bebidas;1156.16;02558157000162;Venda de Bebidas realizada no balcão
16/06/2024;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1957.09;2558157000162;Venda de Prato Vegetariano realizada no balcão
05/11/2024;Sorveteria Tropical;receita;Venda de Sorvete;1295.32;21246584000150;Venda de Sorvete realizada no balcão
01/04/2024;Pizzaria Massa Fina;receita;Venda de Bebidas;204.8;33592510000154;Venda de Bebidas realizada no balcão
19/03/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;45.29;21246584000150;Receita de Publicidade na Sorveteria
07/06/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;844.62;61190096000180;Receita de Publicidade na Sorveteria
19/06/2024;Churrascaria Boi Feliz;receita;Eventos Corporativos;1188.12;02558157000162;Receita de Eventos Corporativos contratados
12/03/2025;Sorveteria Tropical;receita;Venda de Milkshake;1000.00;33000167000101;Venda de Milkshake realizada no balcão
05/10/2023;Restaurante Veggie Life;receita;Venda de Sucos Naturais;1207.77;2558157000162;Venda de Sucos Naturais realizada no balcão
18/05/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;1846.62;60746948000112;Venda de Marmitex realizada no balcão
15/03/2024;Restaurante Veggie Life;receita;Venda de Salada;1866.01;33000167000101;Venda de Salada realizada no balcão
28/09/2024;Pizzaria Massa Fina;receita;Delivery;599.67;60746948000112;Delivery efetuada
19/08/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;1586.8;21246584000150;Receita de Publicidade na Sorveteria
24/02/2024;Restaurante Veggie Life;receita;Venda de Sucos Naturais;1992.45;61190096000180;Venda de Sucos Naturais realizada no balcão
02/02/2024;Restaurante Veggie Life;receita;Eventos de Alimentação Saudável;243.46;33000167000101;Receita de Eventos de Alimentação Saudável contratados
02/06/2025;Pizzaria Massa Fina;receita;Venda de Sobremesas;373.53;21246584000150;Venda de Sobremesas realizada no balcão
19/12/2023;Restaurante Veggie Life;receita;Venda de Sucos Naturais;425.62;33592510000154;Venda de Sucos Naturais realizada no balcão
16/12/2023;Pizzaria Massa Fina;receita;Venda de Pizza;1488.36;33592510000154;Venda de Pizza realizada no balcão
11/02/2025;Restaurante Veggie Life;receita;Venda de Sucos Naturais;699.76;61190096000180;Venda de Sucos Naturais realizada no balcão
24/02/2025;Sorveteria Tropical;receita;Venda de Açaí;622.94;60746948000112;Venda de Açaí realizada no balcão
11/06/2025;Restaurante Veggie Life;receita;Eventos de Alimentação Saudável;1458.31;33592510000154;Receita de Eventos de Alimentação Saudável contratados
15/10/2024;Restaurante Veggie Life;receita;Venda de Salada;1340.92;21246584000150;Venda de Salada realizada no balcão
27/04/2024;Churrascaria Boi Feliz;receita;Venda de Rodízio;43.9;33000167000101;Venda de Rodízio realizada no balcão
12/03/2024;Restaurante Veggie Life;receita;Venda de Salada;223.67;60746948000112;Venda de Salada realizada no balcão
05/12/2024;Restaurante Veggie Life;receita;Venda de Salada;990.14;33050067000179;Venda de Salada realizada no balcão
18/11/2023;Restaurante Veggie Life;receita;Venda de Salada;558.8;33050067000179;Venda de Salada realizada no balcão
28/03/2025;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1957.18;2558157000162;Venda de Prato Vegetariano realizada no balcão
22/02/2024;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1990.99;33592510000154;Venda de Prato Vegetariano realizada no balcão
24/05/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;627.96;60746948000112;Receita de Publicidade na Sorveteria
28/03/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;1254.24;21246584000150;Venda de Marmitex realizada no balcão
23/02/2024;Sorveteria Tropical;receita;Venda de Milkshake;418.22;33050067000179;Venda de Milkshake realizada no balcão
31/10/2024;Churrascaria Boi Feliz;receita;Venda de Bebidas;1347.69;2558157000162;Venda de Bebidas realizada no balcão
13/07/2025;Sorveteria Tropical;receita;Venda de Milkshake;679.94;61190096000180;Venda de Milkshake realizada no balcão
27/02/2024;Churrascaria Boi Feliz;receita;Venda de Marmitex;1828.99;33050067000179;Venda de Marmitex realizada no balcão
18/10/2024;Pizzaria Massa Fina;receita;Delivery;1867.96;33050067000179;Delivery efetuada
27/04/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;1012.34;21246584000150;Venda de Marmitex realizada no balcão
21/11/2023;Pizzaria Massa Fina;receita;Venda de Pizza;14.24;33050067000179;Venda de Pizza realizada no balcão
27/02/2025;Churrascaria Boi Feliz;receita;Venda de Rodízio;509.1;21246584000150;Venda de Rodízio realizada no balcão
04/27/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;807.17;33592510000154;Venda de Marmitex realizada no balcão
10/02/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;703.65;33050067000179;Venda de Marmitex realizada no balcão
12/04/2024;Sorveteria Tropical;receita;Venda de Açaí;1338.26;33592510000154;Venda de Açaí realizada no balcão
13/07/2024;Churrascaria Boi Feliz;receita;Venda de Rodízio;517.48;61190096000180;Venda de Rodízio realizada no balcão
01/03/2025;Sorveteria Tropical;receita;Publicidade na Sorveteria;390.16;33592510000154;Receita de Publicidade na Sorveteria
14/09/2023;Pizzaria Massa Fina;receita;Venda de Bebidas;843.17;33050067000179;Venda de Bebidas realizada no balcão
25/08/2023;Churrascaria Boi Feliz;receita;Venda de Marmitex;704.27;33000167000101;Venda de Marmitex realizada no balcão
29/12/2023;Pizzaria Massa Fina;receita;Venda de Pizza;1729.83;33000167000101;Venda de Pizza realizada no balcão
27/04/2025;Sorveteria Tropical;receita;Venda de Sorvete;1195.99;21246584000150;Venda de Sorvete realizada no balcão
20/01/2025;Restaurante Veggie Life;receita;Venda de Salada;23.55;33050067000179;Venda de Salada realizada no balcão
01/07/2024;Sorveteria Tropical;receita;Venda de Sorvete;235.26;21246584000150;Venda de Sorvete realizada no balcão
14/09/2023;Churrascaria Boi Feliz;receita;Eventos Corporativos;1978.17;33592510000154;Receita de Eventos Corporativos contratados
09/02/2025;Pizzaria Massa Fina;receita;Venda de Pizza;905.05;33592510000154;Venda de Pizza realizada no balcão
07/01/2024;Churrascaria Boi Feliz;receita;Eventos Corporativos;1174.93;61190096000180;Receita de Eventos Corporativos contratados
12/11/2023;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1929.58;21246584000150;Venda de Prato Vegetariano realizada no balcão
24/07/2024;Sorveteria Tropical;receita;Publicidade na Sorveteria;193.84;21246584000150;Receita de Publicidade na Sorveteria
23/02/2024;Churrascaria Boi Feliz;Recita;Venda de Bebidas;174.37;21246584000150;Venda de Bebidas realizada no balcão
22/01/2025;Pizzaria Massa Fina;receita;Venda de Sobremesas;1523.87;61190096000180;Venda de Sobremesas realizada no balcão
04/06/2025;Churrascaria Boi Feliz;receita;Eventos Corporativos;1117.79;60746948000112;Receita de Eventos Corporativos contratados
12/03/2024;Sorveteria Tropical;receita;Venda de Açaí;189.84;33592510000154;Venda de Açaí realizada no balcão
18/12/2023;Sorveteria Tropical;receita;Venda de Milkshake;1394.13;2558157000162;Venda de Milkshake realizada no balcão
19/09/2024;Sorveteria Tropical;receita;Venda de Sorvete;1712.42;33000167000101;Venda de Sorvete realizada no balcão
01/01/2024;Pizzaria Massa Fina;receita;Venda de Bebidas;626.36;33000167000101;Venda de Bebidas realizada no balcão
14/03/2025;Sorveteria Tropical;receita;Venda de Açaí;898.25;21246584000150;Venda de Açaí realizada no balcão
14/06/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;1656.24;33592510000154;Venda de Sobremesas realizada no balcão
12/03/2025;Sorveteria Tropical;receita;Venda de Sorvete;236.82;33000167000101;Venda de Sorvete realizada no balcão
20/12/2023;Sorveteria Tropical;receita;Publicidade na Sorveteria;1022.05;2558157000162;Receita de Publicidade na Sorveteria
03/23/2025;Sorveteria Tropical;receita;Publicidade na Sorveteria;167.45;33000167000101;Receita de Publicidade na Sorveteria
10/10/2024;Churrascaria Boi Feliz;receita;Venda de Marmitex;575.85;33050067000179;Venda de Marmitex realizada no balcão
26/06/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;1948.59;61190096000180;Venda de Sobremesas realizada no balcão
01/07/2025;Pizzaria Massa Fina;receita;Venda de Pizza;1173.82;33592510000154;Venda de Pizza realizada no balcão
18/05/2025;Pizzaria Massa Fina;receita;Venda de Pizza;408.65;33050067000179;Venda de Pizza realizada no balcão
19/07/2024;Churrascaria Boi Feliz;receita;Venda de Bebidas;1545.37;33592510000154;Venda de Bebidas realizada no balcão
31/01/2024;Sorveteria Tropical;receita;Venda de Milkshake;459.38;61190096000180;Venda de Milkshake realizada no balcão
26/12/2023;Churrascaria Boi Feliz;receita;Venda de Bebidas;590.96;33000167000101;Venda de Bebidas realizada no balcão
15/05/2024;Sorveteria Tropical;receita;Venda de Sorvete;1020.1;21246584000150;Venda de Sorvete realizada no balcão
03/03/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;822.71;60746948000112;Venda de Sobremesas realizada no balcão
26/03/2025;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;1652.46;2558157000162;Venda de Prato Vegetariano realizada no balcão
19/07/2025;Restaurante Veggie Life;receita;Venda de Prato Vegetariano;116.64;33050067000179;Venda de Prato Vegetariano realizada no balcão
01/04/2025;Sorveteria Tropical;receita;Publicidade na Sorveteria;1673.28;2558157000162;Receita de Publicidade na Sorveteria
15/07/2025;Sorveteria Tropical;receita;Publicidade na Sorveteria;1956.27;61190096000180;Receita de Publicidade na Sorveteria
06/01/2025;Pizzaria Massa Fina;receita;Venda de Bebidas;739.02;2558157000162;Venda de Bebidas realizada no balcão
25/12/2023;Pizzaria Massa Fina;receita;Delivery;264.29;60746948000112;Delivery efetuada
02/07/2024;Churrascaria Boi Feliz;receita;Eventos Corporativos;558.3;21246584000150;Receita de Eventos Corporativos contratados
16/02/2025;Sorveteria Tropical;receita;Venda de Milkshake;1075.23;61190096000180;Venda de Milkshake realizada no balcão
16/05/2025;Churrascaria Boi Feliz;receita;Venda de Marmitex;1077.76;61190096000180;Venda de Marmitex realizada no balcão
06/10/2023;Restaurante Veggie Life;receita;Eventos de Alimentação Saudável;1843.39;2558157000162;Receita de Eventos de Alimentação Saudável contratados
14/11/2023;Pizzaria Massa Fina;receita;Venda de Pizza;1640.63;33592510000154;Venda de Pizza realizada no balcão
18/01/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;1788.03;33050067000179;Venda de Sobremesas realizada no balcão
13/02/2024;Restaurante Veggie Life;receita;Venda de Sucos Naturais;1511.05;02558157000162;Venda de Sucos Naturais realizada no balcão
17/12/2024;Restaurante Veggie Life;receita;Venda de Salada;1476.15;21246584000150;Venda de Salada realizada no balcão
18/03/2025;Pizzaria Massa Fina;receita;Venda de Sobremesas;232.62;33000167000101;Venda de Sobremesas realizada no balcão
24/06/2025;Churrascaria Boi Feliz;receita;Venda de Bebidas;220.85;33000167000101;Venda de Bebidas realizada no balcão
20/09/2024;Pizzaria Massa Fina;receita;Venda de Sobremesas;1650.44;33592510000154;Venda de Sobremesas realizada no balcão
